28.1,0.0,1.0,67,8.3
26.7,58.0,0.0,82,10.0
24.5,31.0,0.0,87,10.0
21.4,0.0,5.5,58,4.5
21.5,0.0,7.4,58,9.3
23.5,0.0,9.3,68,9.0
23.7,0.0,0.1,78,9.5
22.9,0.0,6.8,68,9.5
23.2,0.0,7.3,70,9.5
23.8,2.0,0.2,84,10.0
22.5,41.0,2.5,87,6.8
22.9,1.5,4.3,79,6.8
23.4,0.0,3.6,78,6.5
23.1,0.0,10.6,81,2.5
23.5,0.0,9.5,78,2.0
24.7,0.0,9.6,69,2.0
26.7,0.0,10.4,62,4.8
26.2,7.5,4.7,73,8.8
22.0,0.0,7.0,75,6.0
21.4,0.0,2.1,67,10.0
19.4,20.0,3.2,78,9.5
19.6,0.0,5.8,64,8.8
18.4,14.5,0.0,80,10.0
18.5,5.0,2.8,60,8.0
17.4,0.0,1.9,60,9.0
18.4,0.0,10.1,62,3.0
19.8,0.0,10.2,71,2.3
20.4,0.0,10.6,74,0.0
20.7,0.0,10.5,78,0.0
21.6,0.0,7.7,79,5.3
21.2,0.0,0.0,75,9.8
18.2,2.0,7.1,58,5.8
17.0,0.0,7.2,62,4.3
17.8,0.0,10.4,59,0.0
19.8,0.0,9.5,63,4.5
21.9,0.0,3.3,73,9.5
20.7,0.0,7.6,68,4.3
17.0,17.0,4.1,65,6.5
15.1,3.0,5.8,67,5.3
15.8,0.0,10.0,61,2.3
16.5,0.0,3.1,67,7.8
17.3,0.0,9.5,70,5.8
16.9,0.0,9.6,63,3.3
16.4,0.0,9.9,56,0.8
16.5,0.0,9.9,65,2.5
17.4,0.0,4.4,70,8.5
17.1,0.0,9.4,76,0.3
17.0,0.0,9.8,76,2.5
15.9,0.0,5.7,62,5.8
13.9,0.0,9.5,62,3.0
14.4,0.0,8.1,64,6.8
14.9,0.0,8.5,69,2.8
15.3,0.0,9.7,68,0.0
15.6,0.0,9.7,65,0.8
17.4,0.0,7.2,65,8.0
18.0,0.0,7.2,74,3.8
20.3,0.0,8.2,69,3.8
19.3,1.5,3.3,79,10.0
16.4,0.0,6.9,62,9.0
15.0,0.0,7.4,62,3.0
14.2,0.0,8.2,60,4.3
14.8,0.0,2.3,64,8.3
15.3,0.0,8.7,71,2.0
16.1,0.0,0.5,73,7.3
15.7,2.0,4.8,79,6.5
15.7,0.0,6.4,81,5.0
15.5,2.0,1.1,75,10.0
15.9,17.0,0.0,87,9.5
15.2,0.0,5.4,75,6.8
15.4,0.0,9.3,62,4.8
17.2,0.0,8.3,65,5.0
15.5,0.0,7.3,70,5.0
19.7,0.0,8.9,50,5.5
19.4,11.5,0.9,83,10.0
11.6,0.0,0.1,62,10.0
8.2,0.0,2.3,53,8.5
7.5,0.0,4.0,59,6.5
9.3,0.0,8.0,60,2.8
11.3,1.0,0.0,73,10.0
10.4,1.5,0.0,73,10.0
9.3,0.0,4.2,53,5.8
10.4,0.0,2.9,58,4.5
9.4,0.0,6.7,68,6.3
10.3,0.0,4.1,64,7.3
11.2,0.0,8.5,65,3.3
11.6,1.5,0.9,67,9.5
10.4,2.0,8.0,66,5.0
11.4,0.5,1.9,58,8.8
7.6,0.0,4.3,48,9.0
6.0,0.0,3.9,59,6.5
7.3,0.0,0.2,65,10.0
6.8,1.0,0.0,65,10.0
3.6,0.5,0.9,62,9.8
5.6,0.0,4.6,51,8.8
5.8,0.0,4.8,64,4.8
6.8,10.0,0.0,83,9.5
6.0,7.5,2.4,62,9.5
2.1,5.0,1.1,63,9.0
3.8,1.5,0.1,70,10.0
6.1,4.0,4.7,74,6.5
6.5,0.0,8.0,66,3.8
6.3,0.0,7.9,69,1.3
6.9,0.0,2.5,65,3.5
6.7,0.0,2.6,62,7.0
6.0,0.0,1.9,62,9.5
7.1,0.0,4.3,60,5.8
7.3,0.0,6.2,64,7.5
7.2,0.0,8.9,58,1.0
5.6,0.0,8.7,55,2.3
5.9,0.0,8.3,59,4.0
6.3,0.0,6.9,64,5.5
8.1,0.0,4.9,61,7.5
8.8,5.0,3.4,58,8.0
7.8,0.0,9.0,63,0.0
10.0,0.0,4.9,66,4.3
10.0,0.0,7.5,60,2.3
8.5,0.0,7.9,68,4.8
12.4,0.0,0.7,72,9.0
16.5,17.0,0.0,73,10.0
14.8,25.0,0.0,96,10.0
12.4,4.0,0.3,87,10.0
8.5,14.0,0.8,82,9.0
7.1,3.0,0.7,85,10.0
6.1,2.0,0.3,74,8.3
6.3,0.0,0.0,71,9.8
7.8,0.0,1.9,61,9.0
6.3,0.0,8.3,54,3.8
4.9,14.0,0.8,74,7.5
7.7,4.5,5.2,79,7.8
1.9,3.0,2.8,64,10.0
-0.3,0.0,2.5,56,7.8
2.3,0.0,0.0,68,10.0
3.9,5.0,1.3,62,9.3
2.0,0.0,1.4,52,8.0
4.3,0.5,0.1,67,10.0
6.4,0.0,8.4,52,3.5
5.6,0.0,9.1,60,0.8
11.1,0.0,6.1,62,9.5
8.8,0.0,2.5,57,10.0
7.6,0.0,3.7,58,7.0
7.1,0.0,7.9,61,7.8
6.1,0.0,9.7,61,1.8
6.9,5.0,0.0,69,9.0
9.7,1.0,0.2,82,9.3
9.4,0.0,8.3,70,2.3
9.5,0.0,4.9,59,9.5
9.2,14.5,0.0,87,9.8
9.8,0.0,2.9,71,7.5
10.5,8.5,6.5,80,5.3
10.3,6.0,0.0,89,10.0
8.3,0.5,3.4,66,8.3
5.8,0.0,3.2,57,9.8
7.0,0.0,10.4,54,2.5
9.4,0.0,1.1,60,7.5
14.7,2.0,0.0,77,10.0
12.9,13.5,1.2,75,9.8
9.3,0.0,9.4,46,4.0
6.5,1.0,2.2,56,6.5
7.0,0.0,8.8,57,4.0
10.1,0.0,5.1,65,8.0
10.1,5.0,2.3,75,7.5
7.5,2.0,1.7,78,9.5
7.5,1.0,8.5,61,3.8
7.7,0.0,10.5,65,0.0
11.1,0.0,9.8,62,2.5
12.5,17.5,0.0,78,9.8
8.5,0.0,9.3,47,5.3
8.1,0.0,10.3,59,5.0
11.0,0.0,9.0,61,8.3
10.4,0.0,10.6,63,0.0
11.0,0.0,10.6,61,0.0
12.9,0.0,10.2,58,0.0
14.4,0.0,9.3,61,2.5
16.1,1.5,3.4,67,8.5
15.9,0.0,9.8,78,1.0
16.3,0.0,8.1,73,4.0
16.0,7.5,1.6,71,9.0
8.1,0.0,8.6,49,4.3
9.7,0.0,10.8,48,0.0
15.5,0.0,8.2,53,5.0
15.5,0.0,2.2,72,10.0
13.4,9.0,0.3,77,10.0
12.5,4.0,3.7,81,6.8
12.4,0.0,10.7,69,3.0
13.8,0.0,4.8,65,8.0
14.8,20.5,0.0,91,9.5
19.1,0.0,6.9,73,8.5
18.8,13.5,0.0,87,10.0
14.8,0.5,0.0,92,10.0
14.4,3.5,4.5,77,9.0
12.7,12.0,0.3,84,8.0
13.0,0.0,8.1,74,5.3
13.3,0.0,11.6,62,2.5
13.5,0.0,10.5,51,5.8
15.3,0.0,7.3,51,8.3
17.8,0.0,8.0,52,7.3
17.3,0.0,10.3,61,6.0
15.9,0.0,11.6,65,1.3
15.2,0.0,11.9,67,1.0
17.8,0.0,5.3,58,10.0
17.5,12.5,0.0,71,10.0
16.4,3.0,0.0,87,10.0
14.6,18.0,5.3,75,6.8
13.2,0.0,11.5,44,2.3
13.4,0.0,12.0,57,1.8
15.4,0.0,10.7,59,5.0
19.1,0.0,5.3,58,6.5
16.5,15.5,8.6,62,5.0
16.0,0.0,11.3,44,4.8
15.1,29.0,0.0,73,10.0
15.5,15.0,0.0,93,10.0
16.0,1.0,7.7,70,4.8
15.3,0.0,11.5,62,2.0
21.0,0.0,10.5,55,6.0
22.5,0.0,1.1,70,10.0
21.7,0.0,10.5,73,7.5
18.7,0.0,3.3,74,10.0
16.4,0.0,11.7,45,3.3
16.4,0.0,8.4,38,7.0
14.8,0.0,0.0,51,10.0
12.7,36.0,0.0,92,10.0
15.4,4.0,9.3,70,4.3
16.3,0.0,11.4,63,2.3
19.2,0.0,8.2,62,6.5
18.6,48.0,0.0,85,10.0
16.7,0.0,8.0,64,6.3
16.8,0.0,12.4,61,0.0
17.7,0.0,12.3,50,5.8
19.7,0.0,8.2,51,9.0
20.2,3.5,1.2,64,10.0
22.2,1.5,2.4,68,9.5
19.6,52.5,0.0,91,10.0
15.5,79.0,0.0,96,10.0
16.3,0.5,9.0,65,9.8
16.6,0.0,12.4,58,3.5
18.0,0.0,12.2,60,5.0
19.1,0.0,10.8,67,8.8
20.5,1.0,9.5,65,7.8
17.4,3.0,0.0,83,10.0
19.4,0.0,9.4,79,6.8
20.3,0.0,12.6,70,3.3
23.5,0.0,12.6,63,0.0
23.7,0.0,10.6,65,5.8
20.7,4.0,0.0,72,10.0
19.1,18.5,0.0,87,10.0
19.8,0.0,5.3,82,7.3
20.8,0.0,13.0,76,1.8
20.0,0.0,3.6,79,10.0
19.9,0.5,11.5,71,4.3
19.4,0.0,11.2,66,4.3
20.9,0.0,0.9,59,10.0
22.2,0.0,0.7,62,8.3
24.1,0.0,8.9,66,10.0
25.2,0.0,2.7,62,10.0
26.0,0.5,0.6,77,10.0
21.3,58.0,0.0,97,10.0
21.7,23.5,5.7,78,7.3
23.9,9.0,2.0,82,9.3
23.3,7.5,3.9,90,8.0
21.9,0.0,13.0,74,0.8
22.5,0.0,6.1,60,6.0
22.5,0.0,0.0,58,10.0
19.4,22.0,0.0,86,10.0
22.7,0.0,10.2,74,9.3
20.3,14.5,0.0,87,10.0
22.3,0.0,6.4,80,8.0
23.3,0.5,3.7,74,9.0
24.4,0.5,3.6,76,9.8
24.8,0.0,8.6,77,9.0
24.8,0.0,3.9,76,10.0
24.0,0.0,0.6,81,9.5
24.0,0.0,10.3,78,6.0
24.7,0.0,12.9,65,4.5
25.2,0.0,11.4,65,7.0
24.7,0.0,2.6,68,10.0
24.4,0.0,10.0,77,2.5
26.2,0.0,7.7,70,6.3
24.3,31.5,0.8,82,10.0
24.6,0.0,7.8,74,8.3
24.6,0.0,8.2,75,9.3
24.1,0.0,4.2,77,9.3
24.7,27.0,0.3,80,10.0
27.0,6.0,1.4,78,10.0
28.6,0.0,1.2,70,10.0
28.5,1.0,1.8,72,9.5
28.6,2.0,1.9,76,9.0
26.5,47.5,0.1,91,9.8
25.8,70.5,0.1,91,10.0
27.6,0.0,6.5,82,4.8
25.7,54.5,3.5,85,9.3
26.8,1.5,1.9,85,9.8
27.9,10.0,3.4,80,7.3
27.0,0.0,12.1,78,4.3
28.3,54.5,0.5,81,10.0
27.7,41.5,0.1,87,10.0
27.4,44.5,0.3,91,10.0
26.6,198.0,2.7,85,8.5
30.3,0.0,9.7,66,6.5
29.1,6.5,3.7,75,9.3
30.3,0.0,2.8,66,10.0
29.7,0.0,0.0,67,10.0
30.7,0.0,7.0,68,10.0
31.3,0.0,10.5,61,5.0
30.5,0.0,10.4,67,5.5
31.0,2.0,5.9,63,9.3
27.8,25.5,1.7,83,10.0
26.8,1.0,3.3,80,10.0
28.3,0.0,8.9,74,6.3
29.0,0.0,3.3,76,10.0
30.4,0.0,4.6,66,10.0
29.3,6.5,5.0,74,8.8
28.3,12.5,7.3,78,5.5
29.7,0.0,12.5,73,2.0
30.3,1.5,9.3,74,6.5
30.0,0.0,10.8,77,10.0
30.2,6.0,8.1,71,3.0
30.2,0.0,11.0,67,4.8
30.4,0.0,3.9,67,8.8
31.8,0.0,8.0,60,7.3
31.0,18.5,9.1,68,6.0
31.2,12.0,10.0,66,6.3
31.9,0.0,10.1,63,4.8
32.2,0.0,12.3,64,2.8
32.2,0.0,11.4,63,3.3
30.8,0.0,5.9,67,6.8
30.5,0.0,3.3,68,9.5
28.3,58.5,0.3,82,10.0
28.6,31.5,3.2,78,9.5
29.4,0.0,11.8,73,3.5
28.9,0.0,7.6,75,6.5
28.2,0.0,10.6,78,5.0
28.9,0.0,11.3,82,4.3
27.1,0.5,0.9,86,10.0
27.0,0.5,4.9,86,8.8
27.3,15.0,1.1,87,9.5
29.1,0.0,2.6,77,9.5
30.1,0.0,10.1,72,4.5
30.1,0.0,8.2,75,8.0
29.7,3.5,9.9,78,2.5
30.0,0.0,10.6,75,3.3
29.9,0.0,2.7,75,9.3
31.1,0.0,7.6,64,8.8
28.6,3.0,3.5,76,10.0
29.4,0.0,8.8,75,6.0
29.1,14.0,7.9,75,5.8
29.7,0.0,9.9,74,7.8
31.0,0.0,12.2,63,5.0
29.3,7.0,5.5,72,5.5
28.9,0.0,2.8,73,8.5
26.2,5.5,0.0,84,10.0
27.6,0.0,0.6,81,10.0
29.2,0.0,8.0,74,5.5
29.0,0.0,11.2,76,1.3
26.7,30.0,1.8,87,7.8
26.7,0.5,3.5,79,9.5
27.2,0.0,10.5,71,3.0
26.8,0.0,10.8,70,4.3
26.8,0.0,10.1,72,2.3
27.2,0.0,9.3,73,3.5
27.1,0.0,10.8,76,4.3
27.8,0.0,8.2,73,7.0
28.8,0.0,3.6,69,9.3
26.4,42.0,0.1,87,10.0
27.1,4.5,1.7,88,9.5
28.7,0.5,7.0,80,7.0
26.0,15.0,0.0,84,9.0
